"Book"	"name"	"author"	"language"	"wikiLink"	"authorName"	"authorWikiLink"
"http://dbpedia.org/resource/Red_Lights_(novel)"	"Red Lights"	"http://dbpedia.org/resource/Georges_Simenon"	"http://dbpedia.org/resource/French_language"	"http://en.wikipedia.org/wiki/Red_Lights_(novel)?oldid=587063363"	"Georges Simenon"	"http://en.wikipedia.org/wiki/Georges_Simenon?oldid=606169551"
"http://dbpedia.org/resource/Red_Lights_(novel)"	"Feux rouges"	"http://dbpedia.org/resource/Georges_Simenon"	"http://dbpedia.org/resource/French_language"	"http://en.wikipedia.org/wiki/Red_Lights_(novel)?oldid=587063363"	"Georges Simenon"	"http://en.wikipedia.org/wiki/Georges_Simenon?oldid=606169551"
"http://dbpedia.org/resource/Red_Lights_(novel)"	"Red Lights"	"http://dbpedia.org/resource/Georges_Simenon"	"http://dbpedia.org/resource/French_language"	"http://en.wikipedia.org/wiki/Red_Lights_(novel)?oldid=587063363"	"Simenon, Georges"	"http://en.wikipedia.org/wiki/Georges_Simenon?oldid=606169551"
"http://dbpedia.org/resource/Red_Lights_(novel)"	"Feux rouges"	"http://dbpedia.org/resource/Georges_Simenon"	"http://dbpedia.org/resource/French_language"	"http://en.wikipedia.org/wiki/Red_Lights_(novel)?oldid=587063363"	"Simenon, Georges"	"http://en.wikipedia.org/wiki/Georges_Simenon?oldid=606169551"
"http://dbpedia.org/resource/12th_of_Never_(novel)"	"12th of Never"	"http://dbpedia.org/resource/James_Patterson"	"http://dbpedia.org/resource/American_English"	"http://en.wikipedia.org/wiki/12th_of_Never_(novel)?oldid=591787019"	"James Patterson"	"http://en.wikipedia.org/wiki/James_Patterson?oldid=605742207"
"http://dbpedia.org/resource/12th_of_Never_(novel)"	"12th of Never"	"http://dbpedia.org/resource/James_Patterson"	"http://dbpedia.org/resource/American_English"	"http://en.wikipedia.org/wiki/12th_of_Never_(novel)?oldid=591787019"	"Patterson, James"	"http://en.wikipedia.org/wiki/James_Patterson?oldid=605742207"
"http://dbpedia.org/resource/1969:_The_Year_Everything_Changed"	"1969: The Year Everything Changed"	"http://dbpedia.org/resource/Rob_Kirkpatrick"	"English"	"http://en.wikipedia.org/wiki/1969:_The_Year_Everything_Changed?oldid=605540174"	"Rob Kirkpatrick"	"http://en.wikipedia.org/wiki/Rob_Kirkpatrick?oldid=602832331"
"http://dbpedia.org/resource/1969:_The_Year_Everything_Changed"	"1969: The Year Everything Changed"	"http://dbpedia.org/resource/Rob_Kirkpatrick"	"English"	"http://en.wikipedia.org/wiki/1969:_The_Year_Everything_Changed?oldid=605540174"	"Kirkpatrick, Rob"	"http://en.wikipedia.org/wiki/Rob_Kirkpatrick?oldid=602832331"
"http://dbpedia.org/resource/A_Kiss_Before_Dying_(novel)"	"A Kiss Before Dying"	"http://dbpedia.org/resource/Ira_Levin"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/A_Kiss_Before_Dying_(novel)?oldid=605803787"	"Ira Levin"	"http://en.wikipedia.org/wiki/Ira_Levin?oldid=606311299"
"http://dbpedia.org/resource/A_Kiss_Before_Dying_(novel)"	"Kiss Before Dying"	"http://dbpedia.org/resource/Ira_Levin"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/A_Kiss_Before_Dying_(novel)?oldid=605803787"	"Ira Levin"	"http://en.wikipedia.org/wiki/Ira_Levin?oldid=606311299"
